student_code,first_name,last_name,email,phone,emergency_contact,emergency_contact_relationship,emergency_contact_phone,skill_level,notes
STU001,Vetri,Selvan,emma.smith@example.com,"+146987826264",Luke Smith,Mother,"+146987826264",Beginner I,"Focus on water comfort and basic floating"
STU002,Liam,Johnson,liam.johnson@example.com,"+146987826264",Madison Johnson,Father,"+15552999136",Beginner II,"Working on freestyle technique"
STU003,Olivia,Williams,olivia.williams@example.com,"+15554488111",Ava Williams,Father,"+15553388032",Beginner I,"Building confidence in deep water"
STU004,Noah,Brown,noah.brown@example.com,"+15557017702",Victoria Brown,Guardian,"+15557544256",Advanced I,"Preparing for regional competition"
STU005,Ava,Jones,ava.jones@example.com,"+15556789012",James Jones,Mother,"+15556789999",Intermediate I,"Improving butterfly technique"
STU006,Ethan,Garcia,ethan.garcia@example.com,"+15551234567",Sofia Garcia,Father,"+15551234599",Intermediate II,"Working on endurance training"
STU007,Sofia,Miller,sofia.miller@example.com,"+15559876543",Charlotte Miller,Mother,"+15559876500",Advanced II,"Focus on competition strategies"
STU008,Lucas,Davis,lucas.davis@example.com,"+15554567890",William Davis,Father,"+15554567899",Beginner II,"Developing backstroke form"
STU009,Isabella,Rodriguez,isabella.rodriguez@example.com,"+15552345678",Oliver Rodriguez,Mother,"+15552345699",Intermediate I,"Improving kick strength"
STU010,Mason,Martinez,mason.martinez@example.com,"+15558901234",Emily Martinez,Guardian,"+15558901299",Advanced I,"Refining racing dives"
STU011,Mia,Hernandez,mia.hernandez@example.com,"+15557890123",Ella Hernandez,Mother,"+15557890199",Beginner I,"Learning basic strokes"
STU012,James,Lopez,james.lopez@example.com,"+15553456789",Luna Lopez,Father,"+15553456799",Intermediate II,"Working on flip turns"
STU013,Charlotte,Gonzalez,charlotte.gonzalez@example.com,"+15559012345",Scarlett Gonzalez,Mother,"+15559012399",Advanced II,"Competition preparation"
STU014,Aiden,Wilson,aiden.wilson@example.com,"+15554321098",Victoria Wilson,Father,"+15554321099",Beginner II,"Building stroke efficiency"
STU015,Amelia,Anderson,amelia.anderson@example.com,"+15556543210",Grace Anderson,Guardian,"+15556543299",Intermediate I,"Improving breathing technique"
STU016,Benjamin,Thomas,benjamin.thomas@example.com,"+15552109876",Chloe Thomas,Mother,"+15552109899",Advanced I,"Sprint training focus"
STU017,Harper,Taylor,harper.taylor@example.com,"+15557654321",Penelope Taylor,Father,"+15557654399",Beginner I,"Water safety fundamentals"
STU018,William,Moore,william.moore@example.com,"+15553210987",Emma Moore,Mother,"+15553210999",Intermediate II,"Distance swimming practice"
STU019,Evelyn,Jackson,evelyn.jackson@example.com,"+15558765432",Olivia Jackson,Guardian,"+15558765499",Advanced II,"Competition technique refinement"
STU020,Oliver,Martin,oliver.martin@example.com,"+15551098765",Noah Martin,Father,"+15551098799",Beginner II,"Stroke development"
STU021,Abigail,Lee,abigail.lee@example.com,"+15555432109",Ethan Lee,Mother,"+15555432199",Intermediate I,"Working on coordination"
STU022,Elijah,Perez,elijah.perez@example.com,"+15559876543",Sofia Perez,Father,"+15559876599",Advanced I,"Preparing for nationals"
STU023,Emily,Thompson,emily.thompson@example.com,"+15554321098",Lucas Thompson,Guardian,"+15554321099",Beginner I,"Basic swimming skills"
STU024,Henry,White,henry.white@example.com,"+15558901234",Isabella White,Mother,"+15558901299",Intermediate II,"Improving stroke efficiency"
STU025,Elizabeth,Harris,elizabeth.harris@example.com,"+15553456789",Mason Harris,Father,"+15553456799",Advanced II,"Competition training"
STU026,Sebastian,Sanchez,sebastian.sanchez@example.com,"+15557890123",Mia Sanchez,Mother,"+15557890199",Beginner II,"Focus on technique"
STU027,Mila,Clark,mila.clark@example.com,"+15552345678",James Clark,Guardian,"+15552345699",Intermediate I,"Building endurance"
STU028,Daniel,Ramirez,daniel.ramirez@example.com,"+15556789012",Charlotte Ramirez,Father,"+15556789999",Advanced I,"Speed work"
STU029,Ella,Lewis,ella.lewis@example.com,"+15551234567",Aiden Lewis,Mother,"+15551234599",Beginner I,"Water confidence"
STU030,Matthew,Robinson,matthew.robinson@example.com,"+15555678901",Amelia Robinson,Father,"+15555678999",Intermediate II,"Stroke refinement"
STU031,Avery,Walker,avery.walker@example.com,"+15559012345",Benjamin Walker,Guardian,"+15559012399",Advanced II,"Competition prep"
STU032,Joseph,Young,joseph.young@example.com,"+15554567890",Harper Young,Mother,"+15554567899",Beginner II,"Developing form"
STU033,Luna,Allen,luna.allen@example.com,"+15558901234",William Allen,Father,"+15558901299",Intermediate I,"Breathing work"
STU034,David,King,david.king@example.com,"+15553456789",Evelyn King,Mother,"+15553456799",Advanced I,"Race preparation"
STU035,Camila,Wright,camila.wright@example.com,"+15557890123",Oliver Wright,Guardian,"+15557890199",Beginner I,"Basic techniques"
STU036,Carter,Scott,carter.scott@example.com,"+15552345678",Abigail Scott,Father,"+15552345699",Intermediate II,"Endurance training"
STU037,Scarlett,Torres,scarlett.torres@example.com,"+15556789012",Elijah Torres,Mother,"+15556789999",Advanced II,"Competition focus"
STU038,Owen,Nguyen,owen.nguyen@example.com,"+15551234567",Emily Nguyen,Father,"+15551234599",Beginner II,"Stroke development"
STU039,Victoria,Hill,victoria.hill@example.com,"+15555678901",Henry Hill,Guardian,"+15555678999",Intermediate I,"Technique work"
STU040,Wyatt,Flores,wyatt.flores@example.com,"+15559012345",Elizabeth Flores,Mother,"+15559012399",Advanced I,"Sprint training"
